Estacao;DataHora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
83587;12/01/2000 12:00;23.8;19;63;912.2;9;2.1;10;
83587;12/01/2000 18:00;28.7;19.6;41;910.3;32;1.6;4;
83587;13/01/2000 00:00;25.5;18.6;50;911;9;1.6;0;
83587;13/01/2000 12:00;26;20.3;58;912;32;1.6;10;
83587;13/01/2000 18:00;31.5;20.4;34;910;27;2.8;5;
83587;14/01/2000 00:00;26;21.2;64;910.7;9;2;0;
83587;14/01/2000 12:00;27.5;21.8;60;911.4;32;1.3;3;
83587;14/01/2000 18:00;31.9;21;36;910.6;27;3.1;8;
83587;15/01/2000 00:00;27.5;20.9;54;909.4;9;1.6;10;
83587;15/01/2000 12:00;27.3;21.8;61;910.9;5;1.3;8;
83587;15/01/2000 18:00;31.1;21;39;908.6;27;1.5;7;
83587;16/01/2000 00:00;28.7;20.8;48;907.9;27;1.1;8;
83587;16/01/2000 12:00;25.5;20.8;65;910.4;5;1.3;9;
83587;16/01/2000 18:00;31.1;22.8;48;908.7;27;2;8;
83587;17/01/2000 00:00;21.5;21;96;910.5;0;0;10;
83587;17/01/2000 12:00;25.1;22.2;77;911.1;27;1.1;8;
83587;17/01/2000 18:00;26.6;22.3;68;910.9;23;1.1;10;
83587;18/01/2000 00:00;24.8;22.3;80;911.2;9;0.8;10;
83587;18/01/2000 12:00;26.2;21.4;65;912.7;27;2;7;
83587;18/01/2000 18:00;29.7;23;56;910.7;27;1.3;9;
83587;19/01/2000 00:00;22.9;21.4;87;910.4;18;0.8;10;
83587;19/01/2000 12:00;27.1;23;70;911.3;5;1.3;7;
83587;19/01/2000 18:00;24.8;22.2;79;908.7;27;1.3;10;
83587;20/01/2000 00:00;22.1;20.6;87;910.2;32;1.6;10;
83587;20/01/2000 12:00;22.5;19.6;76;910.2;14;1.6;10;
83587;20/01/2000 18:00;26.2;22.1;69;908.6;32;1.6;9;
83587;21/01/2000 00:00;22.7;21.3;88;908.4;5;1.3;9;
83587;21/01/2000 12:00;20.7;18.8;83;909.5;9;2.5;10;
83587;21/01/2000 18:00;26.5;21.8;66;907.7;36;0.7;9;
83587;22/01/2000 00:00;21.6;20.3;89;908.7;14;1.6;10;
83587;22/01/2000 12:00;21.9;19.8;82;910.4;9;3;10;
83587;22/01/2000 18:00;29.3;22.3;53;907.7;23;1.6;10;
83587;23/01/2000 00:00;25.3;21.5;71;908.4;9;2.5;7;
83587;23/01/2000 12:00;25.4;21.3;69;910.2;9;2.5;10;
83587;23/01/2000 18:00;29.2;22;52;908;5;1.6;10;
83587;24/01/2000 00:00;25.7;21.2;66;908.7;9;2.5;8;
83587;24/01/2000 12:00;24;21.1;77;910.5;9;2.5;10;
83587;24/01/2000 18:00;28.9;21.1;48;908.6;14;2.1;7;
83587;25/01/2000 00:00;22.1;20;82;911.5;9;2.5;10;
83587;25/01/2000 12:00;25.2;20.7;66;911.6;5;2.5;10;
83587;25/01/2000 18:00;29.5;21.3;47;908.8;32;2.5;7;
83587;26/01/2000 00:00;22.1;20.2;84;910.5;9;1.3;9;
83587;26/01/2000 12:00;20.9;20.6;97;911.6;36;2;10;
83587;26/01/2000 18:00;23.9;21.6;81;909.7;36;2.3;10;
83587;27/01/2000 00:00;20.8;20.5;97;910.8;36;0.1;10;
83587;27/01/2000 12:00;20.9;20.4;95;910.9;36;2.5;10;
83587;27/01/2000 18:00;20.9;19.9;91;910.2;36;1.6;10;
83587;28/01/2000 00:00;19.7;19;93;910.9;18;0.8;10;
83587;28/01/2000 12:00;17.8;16.9;91;912.1;14;1.6;10;
83587;28/01/2000 18:00;19;19;100;910.9;14;0.8;10;
83587;29/01/2000 00:00;17.8;17.8;100;912.9;14;1.5;10;
83587;29/01/2000 12:00;20.1;18.6;86;913.2;9;1.1;10;
83587;29/01/2000 18:00;22.9;20.4;79;911.8;5;1.3;8;
83587;30/01/2000 00:00;20.3;19.6;94;913.7;9;1.6;10;
83587;30/01/2000 12:00;23.3;20.3;76;915;5;1.8;7;
83587;30/01/2000 18:00;29.3;22.3;53;912.8;36;0.7;7;
83587;31/01/2000 00:00;21.3;20.2;90;914.7;9;1.5;10;
83587;31/01/2000 12:00;20.3;19.4;92;917.3;9;0.3;10;
83587;31/01/2000 18:00;22.1;19.6;79;914.8;27;1;10;
83587;01/02/2000 00:00;20.7;19.4;88;901.4;9;0.7;10;
83587;01/02/2000 12:00;21.7;19.8;84;914.7;36;1.3;8;
83587;01/02/2000 18:00;24.9;20.2;64;910.3;32;3.1;10;
83587;02/02/2000 00:00;21.9;20.2;85;910.9;32;1.6;10;
83587;02/02/2000 12:00;20.8;19.6;89;910.8;36;2;10;
83587;02/02/2000 18:00;25.5;21.4;69;908.2;32;2.1;9;
83587;03/02/2000 00:00;20.1;19.7;96;909.3;0;0;3;
83587;03/02/2000 12:00;21.5;20.2;89;909.3;36;2;10;
83587;03/02/2000 18:00;28.9;21.6;51;907.8;27;2;6;
83587;04/02/2000 00:00;23.3;20.3;76;908.1;32;0.1;0;
83587;04/02/2000 12:00;23.5;20.8;78;911.2;36;1.6;10;
83587;04/02/2000 18:00;28;22;58;908.1;32;1.1;9;
83587;05/02/2000 00:00;25;21.4;72;909.1;0;0;0;
83587;05/02/2000 12:00;24.7;21.6;76;911.9;27;1.6;10;
83587;05/02/2000 18:00;28.9;22.5;57;910.4;36;1.3;10;
83587;06/02/2000 00:00;24.3;22;81;911.6;23;1.5;8;
83587;06/02/2000 12:00;24.1;19.4;64;913.2;9;1.6;8;
83587;06/02/2000 18:00;28.5;22.4;58;911.1;23;1.3;8;
83587;07/02/2000 00:00;20.8;20.1;94;912.4;18;0.5;10;
83587;07/02/2000 12:00;20.5;19.6;92;913.6;0;0;10;
83587;07/02/2000 18:00;24.7;21.6;76;911.7;36;0.8;10;
83587;08/02/2000 00:00;21.5;20.7;93;913.2;9;1.3;10;
83587;08/02/2000 12:00;21.3;20;89;913.8;9;1.6;10;
83587;08/02/2000 18:00;22.5;20.8;86;912.4;9;1.5;10;
83587;09/02/2000 00:00;20.1;19.4;94;912.9;0;0;10;
83587;09/02/2000 12:00;20.7;19.8;92;914.1;9;0.8;10;
83587;09/02/2000 18:00;23.3;20.6;78;912.5;9;1.1;10;
83587;10/02/2000 00:00;21.6;19.7;84;912.9;9;1.6;10;
83587;10/02/2000 12:00;23.5;19.8;70;913.1;5;1.6;9;
83587;10/02/2000 18:00;28.3;21.2;52;912.8;9;1.8;8;
83587;11/02/2000 00:00;23.7;20.2;72;911.9;9;2.1;10;
83587;11/02/2000 12:00;24.3;20;67;913.7;0;0;7;
83587;11/02/2000 18:00;27.9;21;53;911.6;5;2.6;10;
83587;12/02/2000 00:00;24.7;20.4;67;913.6;9;1.1;3;
83587;12/02/2000 12:00;24.3;20.4;69;914.3;9;1.6;7;
83587;12/02/2000 18:00;27.7;20.8;52;912.1;9;2.5;6;
83587;13/02/2000 00:00;24;20.4;71;913.6;9;1.1;2;
83587;13/02/2000 12:00;23.5;19.8;70;914.8;9;3.3;10;
83587;13/02/2000 18:00;27.5;19.3;45;913.4;9;1.3;8;
83587;14/02/2000 00:00;23.3;19.7;71;914.4;9;3;10;
83587;14/02/2000 12:00;24.5;20.8;71;916.8;9;1.3;5;
83587;14/02/2000 18:00;27.7;19.8;46;915.5;5;2;7;
83587;15/02/2000 00:00;24.5;19.2;60;916.4;9;1.3;8;
83587;15/02/2000 12:00;24.3;19.8;65;915.6;9;3.1;10;
83587;15/02/2000 18:00;29.7;18.7;32;912.6;9;1.6;10;
83587;16/02/2000 00:00;24.9;19.4;59;913;9;1.6;0;
83587;16/02/2000 12:00;26;20.2;58;915;9;1.5;10;
83587;16/02/2000 18:00;30.4;20.2;37;911.9;36;1.8;8;
83587;17/02/2000 00:00;26.3;20;55;911.6;9;0.7;10;
83587;17/02/2000 12:00;22.9;18.8;67;913;9;1;10;
83587;17/02/2000 18:00;29.3;19;35;910.6;36;1.3;6;
83587;18/02/2000 00:00;18.3;16.8;86;913.2;9;2.1;10;
83587;18/02/2000 12:00;21.5;18.5;74;914.4;9;2.8;10;
83587;18/02/2000 18:00;25;20.1;63;912.7;9;3;10;
83587;19/02/2000 00:00;20.7;18.8;83;914.6;18;1.6;6;
83587;19/02/2000 12:00;22.7;19.1;71;916.4;14;2.5;7;
83587;19/02/2000 18:00;26.8;20.6;56;914;9;1;8;
83587;20/02/2000 00:00;21.5;19.2;80;915.9;14;2.3;9;
83587;20/02/2000 12:00;21.7;18.4;72;917.1;9;1.6;9;
83587;20/02/2000 18:00;24.7;19.6;61;915.7;9;2;8;
83587;21/02/2000 00:00;22.1;18.8;72;916.6;9;1.3;10;
83587;21/02/2000 12:00;21.6;18.1;70;916.7;9;3.1;9;
83587;21/02/2000 18:00;26.7;19.1;47;914.1;9;2.5;9;
83587;22/02/2000 00:00;23.1;18.2;61;914.2;9;2;0;
83587;22/02/2000 12:00;23.3;19;66;916.9;9;2;8;
83587;22/02/2000 18:00;27.7;20.2;49;913.4;9;0.8;6;
83587;23/02/2000 00:00;23.5;18.4;60;913.9;9;3.1;1;
83587;23/02/2000 12:00;24.3;20;67;915.6;14;2.3;5;
83587;23/02/2000 18:00;28.7;20.6;46;913.7;14;2;6;
83587;24/02/2000 00:00;24.4;19.8;64;915.1;9;3;1;
83587;24/02/2000 12:00;24.1;19.7;66;908.5;9;2.5;10;
83587;24/02/2000 18:00;24.6;21.5;76;910.9;14;0.3;10;
83587;25/02/2000 00:00;22.7;20.6;82;911.4;18;0.7;5;
83587;25/02/2000 12:00;24.7;20.6;68;914;9;0.7;6;
83587;25/02/2000 18:00;28.7;22.6;58;910.2;32;1.5;8;
83587;26/02/2000 00:00;23.1;20.4;78;911.7;32;0.8;5;
83587;26/02/2000 12:00;23.5;20.2;73;914.2;9;2.3;9;
83587;26/02/2000 18:00;28.9;21.2;49;912.2;5;1.6;7;
83587;27/02/2000 00:00;24.8;20.2;65;912.8;18;0.7;8;
83587;27/02/2000 12:00;24.2;20.1;68;914.3;14;3.3;10;
83587;27/02/2000 18:00;26.5;20.1;54;911.5;9;0.3;10;
83587;28/02/2000 00:00;24.3;19.4;62;912.4;9;1.6;7;
83587;28/02/2000 12:00;24.1;19.8;66;915.2;9;1.3;4;
83587;28/02/2000 18:00;29.4;20.6;43;910.6;36;1.8;6;
83587;29/02/2000 00:00;23.7;19.6;68;912.4;9;0.7;2;
83587;29/02/2000 12:00;23.7;19.6;68;914.8;9;2.3;8;
83587;29/02/2000 18:00;28.3;20.8;50;913.1;14;2;5;
83587;01/03/2000 00:00;22.5;18.6;68;914.9;9;2.6;5;
83587;01/03/2000 12:00;21.7;18.1;70;916.5;9;3.3;9;
83587;01/03/2000 18:00;26.8;21.1;59;913.7;9;4.3;7;
83587;02/03/2000 00:00;22.7;19.4;73;914.8;9;1.6;0;
83587;02/03/2000 12:00;21.5;18;70;916.3;9;2.1;9;
83587;02/03/2000 18:00;26.4;19.9;54;912.9;9;1.6;6;
83587;03/03/2000 00:00;22.3;18.7;70;913.5;9;2.5;0;
83587;03/03/2000 12:00;23.7;19.2;65;914.5;14;1.6;6;
83587;03/03/2000 18:00;27.1;20.2;52;913;9;1.6;5;
83587;04/03/2000 00:00;23.7;18.9;62;915.1;9;1.6;0;
83587;04/03/2000 12:00;24;19.4;64;916.1;14;2;3;
83587;04/03/2000 18:00;27.9;19.8;46;913.6;9;1.6;3;
83587;05/03/2000 00:00;23.1;19.8;73;915.8;9;3;2;
83587;05/03/2000 12:00;21.6;17.8;68;917.9;9;2.6;8;
83587;05/03/2000 18:00;27.3;20.6;53;915.2;36;1.5;5;
83587;06/03/2000 00:00;23.9;19.9;68;916.6;9;1.5;2;
83587;06/03/2000 12:00;24.1;20;68;916.8;9;3;4;
83587;06/03/2000 18:00;29.3;21.3;48;913.3;9;1.1;10;
83587;07/03/2000 00:00;24.7;19.8;63;913.4;9;3.1;0;
83587;07/03/2000 12:00;24.9;19.9;62;913.3;9;1.6;10;
83587;07/03/2000 18:00;30.3;20.6;40;909.2;32;3.8;10;
83587;08/03/2000 00:00;25.7;20.5;61;908.2;32;0.8;0;
83587;08/03/2000 12:00;20.4;17.7;76;911.7;14;1.3;10;
83587;08/03/2000 18:00;25.1;20.4;64;909.9;14;1.6;8;
83587;09/03/2000 00:00;21.2;18.7;78;911.9;14;3;10;
83587;09/03/2000 12:00;21.5;18.6;75;915.6;9;1.8;8;
83587;09/03/2000 18:00;24.9;20.6;67;912.1;9;2.1;9;
83587;10/03/2000 00:00;19.9;19;92;914.1;9;1.6;10;
83587;10/03/2000 12:00;22;19.2;76;914.8;9;1;10;
83587;10/03/2000 18:00;24.3;20.6;71;912.2;9;0.3;10;
83587;11/03/2000 00:00;20.1;19;90;913.1;9;1.6;10;
83587;11/03/2000 12:00;19.3;18.4;92;913.9;9;1;10;
83587;11/03/2000 18:00;19.9;18.2;85;911.2;9;1.6;10;
83587;12/03/2000 00:00;19.2;18.8;96;911;9;1.1;10;
83587;12/03/2000 12:00;19.4;19.2;98;909.9;32;1.1;10;
83587;12/03/2000 18:00;23.1;21;83;906;23;1;9;
83587;13/03/2000 00:00;20.5;19.6;92;907.9;9;1.5;8;
83587;13/03/2000 12:00;21.1;18.8;80;907.7;9;1.5;10;
83587;13/03/2000 18:00;25.1;21.2;70;907.5;27;1.8;9;
83587;14/03/2000 00:00;21.1;18.8;80;908.9;9;1.5;1;
83587;14/03/2000 12:00;23.1;19;67;910.6;9;0.8;7;
83587;14/03/2000 18:00;25.7;21.8;70;909.1;14;1.6;8;
83587;15/03/2000 00:00;21.9;19.6;80;911.6;9;1;1;
83587;15/03/2000 12:00;23.6;19.6;68;912.1;9;2.5;7;
83587;15/03/2000 18:00;27.7;21.4;56;909.8;36;1.6;8;
83587;16/03/2000 00:00;23.1;20.8;81;912.3;9;0.8;6;
83587;16/03/2000 12:00;23.3;20.2;75;913.9;9;1;9;
83587;16/03/2000 18:00;23.3;20.6;78;910.6;36;1.1;9;
83587;17/03/2000 00:00;21.2;20;89;911.7;9;0.8;10;
83587;17/03/2000 12:00;22.9;20.4;79;912.4;9;1.6;10;
83587;17/03/2000 18:00;25.5;21.4;69;909.7;5;1.3;10;
83587;18/03/2000 00:00;22;21.1;92;911.5;9;0.3;10;
83587;18/03/2000 12:00;24.3;21.4;77;910;36;1.1;8;
83587;18/03/2000 18:00;21.9;20.7;90;908.7;5;0.5;10;
83587;19/03/2000 00:00;20.1;19.2;92;910.2;9;0.7;10;
83587;19/03/2000 12:00;21.9;20;84;910.7;9;0.5;10;
83587;19/03/2000 18:00;25.5;20.9;65;910.3;36;3;9;
83587;20/03/2000 00:00;21.4;19.9;87;911.1;18;1.6;10;
83587;20/03/2000 12:00;21.9;19.2;77;914.1;9;2.3;9;
83587;20/03/2000 18:00;26.7;21.6;63;912.4;5;1.6;6;
83587;21/03/2000 00:00;23.3;19.5;69;913.7;9;1;2;
83587;21/03/2000 12:00;23.3;19.6;70;914.7;9;2.5;8;
83587;21/03/2000 18:00;24.8;21.3;73;913.1;9;2.5;9;
83587;22/03/2000 00:00;22.1;19;74;914.1;9;2;0;
83587;22/03/2000 12:00;22.9;19.7;74;914.8;9;2.8;4;
83587;22/03/2000 18:00;27.3;20.9;55;912.3;9;1.6;7;
83587;23/03/2000 00:00;23.6;19.8;70;913.2;9;2.5;0;
83587;23/03/2000 12:00;24.3;20;67;914.2;9;2;6;
83587;23/03/2000 18:00;27.9;20.8;51;913.3;9;1.6;7;
83587;24/03/2000 00:00;23;20.1;76;915.3;9;3.3;4;
83587;24/03/2000 12:00;23.1;19.4;70;916.4;9;2.5;5;
83587;24/03/2000 18:00;26.6;20.8;58;914;5;1.6;7;
83587;25/03/2000 00:00;22.9;19.6;73;914.7;14;1.6;0;
83587;25/03/2000 12:00;25.9;21;64;914.5;9;1.1;2;
83587;25/03/2000 18:00;26.9;21.3;60;912.1;9;1.6;4;
83587;26/03/2000 00:00;23.9;20.8;75;913;9;2.5;0;
83587;26/03/2000 12:00;23.1;19.8;73;914.5;0;0;8;
83587;26/03/2000 18:00;28.1;20.6;49;912.6;9;1;6;
83587;27/03/2000 00:00;24.1;18.6;58;913.2;9;0.7;0;
83587;27/03/2000 12:00;23.7;19.5;67;913.7;9;3.3;4;
83587;27/03/2000 18:00;27.8;20.9;53;911.3;9;2;6;
83587;28/03/2000 00:00;23.7;20.4;73;912.5;9;1.6;0;
83587;28/03/2000 12:00;24.1;19.8;66;914.3;9;2;3;
83587;28/03/2000 18:00;27.7;20.8;52;910.5;9;1.6;3;
83587;29/03/2000 00:00;23;19.5;72;913.6;27;1.6;8;
83587;29/03/2000 12:00;22.7;19.4;73;914.4;14;2.3;8;
83587;29/03/2000 18:00;27.9;19.6;44;912.5;14;1.6;6;
83587;30/03/2000 00:00;23.7;19;63;913;14;0.8;4;
83587;30/03/2000 12:00;22.5;18.2;65;914.4;14;3.3;7;
83587;30/03/2000 18:00;27.3;18.8;43;912.2;9;3;6;
83587;31/03/2000 00:00;22.3;18.8;71;913.5;14;2.5;1;
83587;31/03/2000 12:00;21.8;18.4;71;916.1;14;2.8;5;
83587;31/03/2000 18:00;25.7;19.6;55;913.1;5;1;5;
83587;01/04/2000 00:00;22.6;18.9;70;914.6;14;2.5;0;
83587;01/04/2000 12:00;23.1;18.8;66;916.6;14;2.3;4;
83587;01/04/2000 18:00;27.9;19.9;46;913.6;36;1.3;4;
83587;02/04/2000 00:00;23.5;19.6;69;914.3;9;0.8;0;
83587;02/04/2000 12:00;23.3;19.5;69;915.6;9;1.6;6;
83587;02/04/2000 18:00;24.3;21.2;75;914;32;1.5;7;
83587;03/04/2000 00:00;22.7;18.8;68;915.4;18;1.6;0;
83587;03/04/2000 12:00;23.7;18.6;60;917.3;9;1;4;
83587;03/04/2000 18:00;25.3;19.5;57;915.6;14;1.6;4;
83587;04/04/2000 00:00;19.8;16.6;72;917.1;14;1.5;0;
83587;04/04/2000 12:00;20.5;16;62;918.8;18;0.8;2;
83587;04/04/2000 18:00;25.9;18;44;916.4;9;1.6;5;
83587;05/04/2000 00:00;19.9;16.4;69;917.8;18;1.6;3;
83587;05/04/2000 12:00;21.1;16.3;60;917.6;14;2.5;3;
83587;05/04/2000 18:00;26.1;18.6;47;916.6;9;3.3;8;
83587;06/04/2000 00:00;20.3;17.4;74;918.5;14;2;4;
83587;06/04/2000 12:00;22.5;18.2;65;918.6;18;2.1;2;
83587;06/04/2000 18:00;26.7;18.4;43;916.8;9;1.8;3;
83587;07/04/2000 00:00;21.4;18.1;72;916.3;18;0.8;0;
83587;07/04/2000 12:00;22.7;18;62;917.1;9;1.6;5;
83587;07/04/2000 18:00;25.3;18.8;52;914.5;9;2;8;
83587;08/04/2000 00:00;21.7;18.4;72;915.1;18;1;3;
83587;08/04/2000 12:00;22.4;18.5;68;916.3;14;1.5;4;
83587;08/04/2000 18:00;26;19.4;53;913.9;14;2.5;2;
83587;09/04/2000 00:00;22.1;18.8;72;914.8;14;0.3;0;
83587;09/04/2000 12:00;22.3;19;73;915.9;14;3;8;
83587;09/04/2000 18:00;27.6;20.2;49;913.1;9;1.8;5;
83587;10/04/2000 00:00;22;19.4;78;914.2;18;1.6;1;
83587;10/04/2000 12:00;21.7;19;77;914.6;9;2;7;
83587;10/04/2000 18:00;27.9;20.8;51;913.3;5;0.8;8;
83587;11/04/2000 00:00;22.1;19.5;78;915.4;9;1.8;6;
83587;11/04/2000 12:00;23.4;19.4;68;914.4;9;2.5;5;
83587;11/04/2000 18:00;27.2;20.4;53;911.7;9;1.6;6;
83587;12/04/2000 00:00;21.9;19.4;79;912.6;0;0;4;
83587;12/04/2000 12:00;24.1;19.8;66;914.2;9;1.5;0;
83587;12/04/2000 18:00;28.7;20.4;45;910.4;5;1.3;3;
83587;13/04/2000 00:00;23.8;19.2;64;911.6;9;1.3;1;
83587;13/04/2000 12:00;24.3;20;67;913.4;9;1.6;7;
83587;13/04/2000 18:00;28.3;21.2;52;911.6;36;0.7;8;
83587;14/04/2000 00:00;20.5;19.6;92;913.3;14;1.5;10;
83587;14/04/2000 12:00;24.3;20.2;68;914.9;9;2;2;
83587;14/04/2000 18:00;26.3;21.4;64;911.8;27;0.8;8;
83587;15/04/2000 00:00;23.5;20.2;73;913;14;0.8;0;
83587;15/04/2000 12:00;23.6;19.9;70;916;9;2.3;3;
83587;15/04/2000 18:00;27;20.5;54;913;18;0.8;6;
83587;16/04/2000 00:00;23.3;19.6;70;914.3;14;0.8;3;
83587;16/04/2000 12:00;23.3;19.4;69;915;9;1.6;3;
83587;16/04/2000 18:00;22.5;19.4;74;913;9;0.8;8;
83587;17/04/2000 00:00;22.1;19.4;77;913.9;9;1.8;1;
83587;17/04/2000 12:00;22.8;19;69;914.1;14;1.8;2;
83587;17/04/2000 18:00;27.2;20.4;53;910.3;32;2.5;8;
83587;18/04/2000 00:00;21.5;18.8;77;911.8;9;1.3;4;
83587;18/04/2000 12:00;21.3;18.2;73;915.6;9;0.8;4;
83587;18/04/2000 18:00;25.2;20.7;66;911.1;14;1.3;9;
83587;19/04/2000 00:00;20.3;19.6;94;912.6;14;0.8;5;
83587;19/04/2000 12:00;23.7;20;70;914.1;9;1.6;7;
83587;19/04/2000 18:00;21.7;20.8;92;912.3;27;0.8;10;
83587;20/04/2000 00:00;22;21;91;912.4;27;1;9;
83587;20/04/2000 12:00;20.5;19.8;94;912.5;27;1.3;10;
83587;20/04/2000 18:00;22.9;20.7;82;910.1;27;1.6;9;
83587;21/04/2000 00:00;21.7;20.8;92;910.9;36;0.5;8;
83587;21/04/2000 12:00;20.7;16.6;65;911.6;27;2.3;0;
83587;21/04/2000 18:00;26.5;17.2;37;910;32;2;8;
83587;22/04/2000 00:00;20.3;13.3;43;910.8;23;0.8;0;
83587;22/04/2000 12:00;20.9;15.4;54;912.1;36;0.8;2;
83587;22/04/2000 18:00;25.7;16.4;36;911.2;14;1;4;
83587;23/04/2000 00:00;19.6;15.9;67;912.4;14;1.6;0;
83587;23/04/2000 12:00;20.7;14.9;52;914.5;14;2.1;1;
83587;23/04/2000 18:00;24.7;16.8;43;912.7;32;1.6;2;
83587;24/04/2000 00:00;19.3;15.8;69;913.6;18;0.8;0;
83587;24/04/2000 12:00;20.8;15.5;56;915.3;14;1.8;1;
83587;24/04/2000 18:00;26.1;17.6;41;912.7;18;1.6;1;
83587;25/04/2000 00:00;20.5;16.4;65;915.6;18;1.6;1;
83587;25/04/2000 12:00;19.7;15.8;66;916.1;9;1.6;2;
83587;25/04/2000 18:00;23.7;16.2;44;914.4;9;0.8;0;
83587;26/04/2000 00:00;19.6;15.2;61;915.3;14;1.6;0;
83587;26/04/2000 12:00;19.9;16;66;918.4;14;0.8;2;
83587;26/04/2000 18:00;24.3;16.4;42;914.5;9;1.6;3;
83587;27/04/2000 00:00;19.2;15;63;916.9;9;1;0;
83587;27/04/2000 12:00;20.7;15.5;56;918.6;9;2.5;0;
83587;27/04/2000 18:00;24.7;16.8;43;915.5;18;1.5;2;
83587;28/04/2000 00:00;19.8;15.9;66;917.6;9;1.3;0;
83587;28/04/2000 12:00;21.5;17.4;66;919.1;9;2;4;
83587;28/04/2000 18:00;23.1;17.6;57;916.8;9;1.6;7;
83587;29/04/2000 00:00;21;18;74;917.8;9;2.1;3;
83587;29/04/2000 12:00;21.9;17.8;66;918.7;9;1;2;
83587;29/04/2000 18:00;26.3;18.3;44;916;9;1.8;3;
83587;30/04/2000 00:00;21.5;17;63;917.1;14;1.6;0;
83587;30/04/2000 12:00;21.6;18.6;74;918;9;3.3;8;
83587;30/04/2000 18:00;24.9;19.4;59;915.2;9;1.6;4;
83587;01/05/2000 00:00;21.5;18.5;74;916.6;9;2.5;2;
83587;01/05/2000 12:00;20.5;17;70;917.8;9;1.6;7;
83587;01/05/2000 18:00;24.5;18.4;54;915.9;9;2;9;
83587;02/05/2000 00:00;21.1;17.9;73;917.2;9;2.5;7;
83587;02/05/2000 12:00;20.9;17.6;72;917.3;9;3.8;7;
83587;02/05/2000 18:00;23.5;19.3;67;915.3;9;2.5;9;
83587;03/05/2000 00:00;21.1;18;73;916.8;9;1.6;0;
83587;03/05/2000 12:00;21.5;18;70;917.8;9;2;7;
83587;03/05/2000 18:00;26;19.7;54;914.4;9;1.6;1;
83587;04/05/2000 00:00;21.6;18.1;70;916.4;9;1.5;0;
83587;04/05/2000 12:00;21.5;17.8;69;917.3;9;2.5;6;
83587;04/05/2000 18:00;25.7;17.4;42;914.4;18;2;3;
83587;05/05/2000 00:00;21.3;16.2;58;916.9;9;1.5;0;
83587;05/05/2000 12:00;21.1;17;65;917.1;14;1.6;4;
83587;05/05/2000 18:00;25.2;18.7;52;913.8;9;1.8;6;
83587;06/05/2000 00:00;21.3;17.4;67;914.6;9;1;0;
83587;06/05/2000 12:00;22.5;18.4;67;914.7;9;1;0;
83587;06/05/2000 18:00;28.1;18.2;36;910.4;36;2.1;3;
83587;07/05/2000 00:00;21.5;18;70;912.3;27;1.1;0;
83587;07/05/2000 12:00;23.9;18;55;913.1;32;0.8;0;
83587;07/05/2000 18:00;27.9;19.6;44;912;32;1.6;7;
